"location","date","total_cases","new_cases","total_deaths","new_deaths","gdp_per_capita","population","lockdown_date","total_doses_administered","pc_of_population_fully_vaccinated","gdp","gdp_status","daily_infection_rate","daily_death_rate"
"Australia",2019-12-31,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-01,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-02,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-03,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-04,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-05,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-06,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-07,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-08,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-09,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-10,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-11,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-12,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-13,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-14,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-15,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-16,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-17,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-18,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-19,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-20,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-21,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-22,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-23,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-24,0,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-25,1,1,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000392158692818998,0
"Australia",2020-01-26,4,3,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000000117647607845699,0
"Australia",2020-01-27,4,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-28,4,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-29,4,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-01-30,6,2,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000784317385637996,0
"Australia",2020-01-31,7,1,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000392158692818998,0
"Australia",2020-02-01,9,2,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000784317385637996,0
"Australia",2020-02-02,11,2,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000784317385637996,0
"Australia",2020-02-03,11,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-04,11,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-05,12,1,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000392158692818998,0
"Australia",2020-02-06,13,1,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000392158692818998,0
"Australia",2020-02-07,14,1,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000392158692818998,0
"Australia",2020-02-08,14,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-09,14,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-10,14,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-11,14,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-12,14,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-13,14,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-14,15,1,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000392158692818998,0
"Australia",2020-02-15,15,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-16,15,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-17,15,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-18,15,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-19,15,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-20,15,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-21,17,2,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000784317385637996,0
"Australia",2020-02-22,21,4,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000000156863477127599,0
"Australia",2020-02-23,22,1,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000392158692818998,0
"Australia",2020-02-24,22,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-25,22,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-26,22,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-27,23,1,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000392158692818998,0
"Australia",2020-02-28,23,0,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0,0
"Australia",2020-02-29,25,2,0,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000784317385637996,0
"Australia",2020-03-01,26,1,1,1,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000000392158692818998,0.0000000392158692818998
"Australia",2020-03-02,29,3,1,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000000117647607845699,0
"Australia",2020-03-03,33,4,1,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000000156863477127599,0
"Australia",2020-03-04,41,8,1,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000000313726954255198,0
"Australia",2020-03-05,52,11,2,1,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000000431374562100898,0.0000000392158692818998
"Australia",2020-03-06,59,7,2,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000000274511084973299,0
"Australia",2020-03-07,63,4,2,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000000156863477127599,0
"Australia",2020-03-08,74,11,3,1,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000000431374562100898,0.0000000392158692818998
"Australia",2020-03-09,80,6,3,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000000235295215691399,0
"Australia",2020-03-10,100,20,3,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000000784317385637996,0
"Australia",2020-03-11,112,12,3,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000000470590431382797,0
"Australia",2020-03-12,126,14,3,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000000549022169946597,0
"Australia",2020-03-13,156,30,3,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000117647607845699,0
"Australia",2020-03-14,197,41,3,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000160785064055789,0
"Australia",2020-03-15,249,52,3,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000203922520265879,0
"Australia",2020-03-16,298,49,5,2,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000192157759481309,0.0000000784317385637996
"Australia",2020-03-17,375,77,5,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000301962193470628,0
"Australia",2020-03-18,454,79,5,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000309805367327008,0
"Australia",2020-03-19,565,111,6,1,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000435296149029088,0.0000000392158692818998
"Australia",2020-03-20,709,144,6,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000564708517659357,0
"Australia",2020-03-21,874,165,7,1,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000647061843151346,0.0000000392158692818998
"Australia",2020-03-22,1098,224,7,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000878435471914555,0
"Australia",2020-03-23,1709,611,7,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000239608961312408,0
"Australia",2020-03-24,1823,114,7,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000447060909813658,0
"Australia",2020-03-25,2423,600,8,1,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000235295215691399,0.0000000392158692818998
"Australia",2020-03-26,2799,376,11,3,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000147451668499943,0.000000117647607845699
"Australia",2020-03-27,3166,367,13,2,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000143922240264572,0.0000000784317385637996
"Australia",2020-03-28,3378,212,13,0,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000831376428776276,0
"Australia",2020-03-29,3809,431,14,1,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000169020396604988,0.0000000392158692818998
"Australia",2020-03-30,4093,284,16,2,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000111373068760595,0.0000000784317385637996
"Australia",2020-03-31,4557,464,19,3,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000181961633468015,0.000000117647607845699
"Australia",2020-04-01,4707,150,20,1,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000588238039228497,0.0000000392158692818998
"Australia",2020-04-02,4976,269,21,1,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.000010549068836831,0.0000000392158692818998
"Australia",2020-04-03,5224,248,23,2,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000972553558191115,0.0000000784317385637996
"Australia",2020-04-04,5548,324,30,7,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.0000127059416473355,0.000000274511084973299
"Australia",2020-04-05,5687,139,34,4,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000545100583018407,0.000000156863477127599
"Australia",2020-04-06,5744,57,36,2,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000223530454906829,0.0000000784317385637996
"Australia",2020-04-07,5844,100,42,6,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000392158692818998,0.000000235295215691399
"Australia",2020-04-08,5956,112,45,3,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000439217735957278,0.000000117647607845699
"Australia",2020-04-10,6152,100,52,2,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000392158692818998,0.0000000784317385637996
"Australia",2020-04-11,6238,86,54,2,44648.71,25499881,2020-03-24,57988175,86,1138536791803.51,"below average",0.00000337256475824338,0.0000000784317385637996
